"Reference","Quantity","Value","Digi-Key Part #"
"C1, ","1",".1uF","399-9877-2-ND"
"C2, C3, ","2","10uF","P980-ND"
"D1, ","1","RED LED","732-5005-ND"
"D2, D4, ","2","GREEN LED","732-5008-ND"
"D3, ","1","YELLOW LED","732-5010-ND"
"D5, ","1","BLUE LED","160-1035-ND"
"J1, ","1","EXP","S2011EC-05-ND"
"J2, ","1","USB_B_Micro","2073-USB3131-30-0230-ACT-ND"
"J3, ","1","USB_A","UE27AE54100-ND"
"N1, N2, N3, N4, ","4","Nut","36-4687-ND"
"Q3, ","1","2N7000","2N7000BU-ND"
"Q4, ","1","2N3906","2N3906TFCT-ND"
"R1, ","1","100","CF14JT100RCT-ND"
"R2, ","1","75","CF14JT75R0CT-ND"
"R3, ","1","1K","738-CFF14JT1K00CT-ND"
"R4, ","1","68","CF14JT68R0CT-ND"
"R5, ","1","47","CF14JT47R0CT-ND"
"R6, R9, ","2","10K","CF14JT10K0CT-ND"
"R7, R8, ","2","43K","CF14JT43K0CT-ND"
"SC1, SC2, SC3, SC4, ","4","Screw","145-50M025045G004-ND"
"SK1, ","1","A_14-LC-TT","AE9989-ND"
"SO1, SO2, SO3, SO4, ","4","Stand-off","1772-2756-ND"
"SW1, ","1","Reset","450-1940-ND"
"U1, ","1","74AHC04","296-12772-5-ND"
"W1, W2, W3, W4, ","4","Washer","RPC3448-ND"
